book_name,author,primary_genre,book_type,number_of_pages,pages_category,first_published_year,book_age,rating,ratings_count,ratings_count_log,votes,votes_log,score
"The Shining (The Shining, #1)",Stephen  King,Horror,Mass,497,Long,1977,48,4.28,1694948,14.343163209848445,2600,7.8636512654486515,226307
"Moby-Dick or, The Whale",Herman Melville,Classics,Paperback,720,Long,1851,174,3.56,613504,13.326943693059143,2558,7.847371836159788,221495
A Prayer for Owen Meany,John Irving,Fiction,Paperback,637,Long,1989,36,4.24,336254,12.725625079676107,2391,7.779885115070522,217198
Dark Places,Gillian Flynn,Mystery,Hardcover,424,Long,2009,16,3.94,834460,13.634541286420333,2342,7.759187438507795,216769
Shutter Island,Dennis Lehane,Mystery,Mass,369,Medium,2003,22,4.14,223876,12.318852072879782,2240,7.714677473800927,205768
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,Fantasy,Hardcover,352,Medium,1998,27,4.43,4458539,15.310331916144055,2409,7.787382026484701,204282
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,Fantasy,Hardcover,479,Long,2010,15,4.31,874581,13.681501336912214,2226,7.708410667257367,203029
"The Hobbit, or There and Back Again",J.R.R. Tolkien,Fantasy,Paperback,366,Medium,1937,88,4.3,4431010,15.304138332688137,2282,7.733245646529795,197152
The Metamorphosis,Franz Kafka,Classics,Mass,201,Medium,1915,110,3.9,1407615,14.157408051230552,2219,7.705262474866325,191929
It,Stephen  King,Horror,Paperback,1184,Very Long,1986,39,4.24,1258936,14.045778272060398,2172,7.6838639802564295,191926
The Girl on the Train,Paula Hawkins,Fiction,Hardcover,336,Medium,2015,10,3.96,3266017,14.999082063826203,2081,7.641084249174914,191784
The Secret Life of Bees,Sue Monk Kidd,Fiction,Paperback,352,Medium,2001,24,4.1,1349360,14.115141705023694,2178,7.68662133494462,190101
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,Fantasy,Hardcover,662,Long,2007,18,4.52,1075548,13.888341786856643,2009,7.605890001053122,188861
The Red Tent,Anita Diamant,Historical Fiction,Hardcover,324,Medium,1997,28,4.2,630126,13.353676665353312,2088,7.644440761556566,186382
Mystic River,Dennis Lehane,Mystery,Paperback,416,Long,2001,24,4.17,164559,12.01103052432684,2025,7.613818684808629,186183
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,Horror,Hardcover,454,Long,1981,44,4.07,371632,12.825662087145721,2016,7.6093665379542115,185637
The Master and Margarita,Mikhail Bulgakov,Classics,Paperback,372,Medium,1967,58,4.28,416826,12.94042654659384,1993,7.597897950521784,182940
Never Lie,Freida McFadden,Thriller,Kindle,286,Medium,2022,3,4.08,1403396,14.15440628413237,1947,7.5745584842024805,182540
Before I Go to Sleep,S.J. Watson,Thriller,Hardcover,359,Medium,2011,14,3.9,367077,12.813329638514489,1935,7.568379267836522,180605
None of This Is True,Lisa Jewell,Thriller,Hardcover,390,Medium,2023,2,4.08,1074875,13.887715864053503,1927,7.564238475170491,180397
Big Little Lies,Liane Moriarty,Fiction,Paperback,460,Long,2014,11,4.31,1109801,13.919692178998824,1933,7.56734567601324,179865
1984,George Orwell,Classics,Paperback,368,Medium,1949,76,4.2,5406984,15.503202194178677,1926,7.563719668414366,178977
The Paris Apartment,Lucy Foley,Mystery,Hardcover,360,Medium,2022,3,3.64,708913,13.471489500554858,1905,7.552762084214147,178435
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,Thriller,Hardcover,352,Medium,2019,6,3.95,557770,13.231703762863441,1895,7.547501682814967,177561
The Count of Monte Cristo,Alexandre Dumas,Classics,Paperback,1276,Very Long,1844,181,4.32,1016947,13.83231654294668,2010,7.606387389772652,176952
Lock Every Door,Riley Sager,Thriller,ebook,381,Medium,2019,6,3.89,296472,12.599711430878882,1884,7.541683099882111,176215
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,Thriller,Kindle,329,Medium,2023,2,4.17,1540171,14.247404656464825,1880,7.53955882930103,176112
"You (You, #1)",Caroline Kepnes,Thriller,Paperback,464,Long,2014,11,3.96,290682,12.57998860530481,1880,7.53955882930103,175806
The Woman in the Window,A.J. Finn,Thriller,Kindle,455,Long,2018,7,3.94,881008,13.688823120530156,1874,7.536363938404511,175199
Perfume: The Story of a Murderer,Patrick Süskind,Fiction,Paperback,263,Medium,1985,40,4.04,548860,13.215600500820429,1973,7.587817219993427,174570
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,Mystery,Hardcover,341,Medium,2016,9,3.72,763109,13.545157467634269,1846,7.52131798019924,172357
Pretty Girls,Karin Slaughter,Thriller,Paperback,432,Long,2015,10,4.01,694097,13.450368439894335,1834,7.51479976048867,171635
Home Before Dark,Riley Sager,Horror,Hardcover,389,Medium,2020,5,4.04,309046,12.64124864787318,1824,7.509335266016592,170720
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,Fantasy,Hardcover,381,Medium,2009,16,4.55,1139597,13.946186126602596,1933,7.56734567601324,170583
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,Mystery,Mass,528,Long,1997,28,4.2,195115,12.181349532474668,1836,7.515889085215125,170482
Eragon (The Inheritance Cycle #1),Christopher Paolini,Fantasy,Paperback,503,Long,2002,23,3.96,1931638,14.473879423293333,1931,7.566311014772463,169602
Fight Club,Chuck Palahniuk,Fiction,Paperback,224,Medium,1996,29,4.18,640375,13.369810782825294,1941,7.571473648851271,169504
The Only One Left,Riley Sager,Thriller,Hardcover,383,Medium,2023,2,4.13,591508,13.2904321778385,1795,7.493317248862145,168101
The Couple Next Door,Shari Lapena,Thriller,Hardcover,308,Medium,2016,9,3.8,705204,13.466243819667898,1795,7.493317248862145,167865
Behind Closed Doors,B.A. Paris,Thriller,Hardcover,293,Medium,2016,9,3.97,747039,13.523874010204764,1799,7.495541943884256,167766
No Exit,Taylor  Adams,Thriller,Kindle,287,Medium,2017,8,3.98,213346,12.27067522711583,1790,7.490529402060711,167321
Final Girls,Riley Sager,Thriller,Hardcover,352,Medium,2017,8,3.82,258869,12.464081284170463,1786,7.488293515159428,167240
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,Mystery,Hardcover,307,Medium,2021,4,3.82,1132908,13.94029921904399,1788,7.489412083508719,167069
Looking for Alaska,John Green,Young Adult,Paperback,221,Medium,2005,20,3.96,1740272,14.36955255543546,1803,7.4977617006225685,164689
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,Fantasy,Paperback,206,Medium,1950,75,4.24,3131508,14.957025554965508,2014,7.608374474380783,164565
Then She Was Gone,Lisa Jewell,Thriller,Paperback,359,Medium,2017,8,4.04,971331,13.78642360438464,1763,7.475339236566737,164227
A Flicker in the Dark,Stacy Willingham,Thriller,Hardcover,357,Medium,2022,3,3.97,592689,13.292426775691636,1752,7.469083884921234,163826
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,Fiction,Paperback,176,Short,1964,61,4.17,927148,13.739869565180822,1943,7.572502985020384,162049
The Adventures of Tom Sawyer,Mark Twain,Classics,Paperback,244,Medium,1876,149,3.92,1013894,13.829309907475706,1991,7.596894438144544,161359
Middlesex,Jeffrey Eugenides,Fiction,Paperback,529,Long,2002,23,4.04,662252,13.40340293713538,1807,7.4999765409521215,161277
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,Fiction,Paperback,487,Long,2001,24,4.31,715247,13.48038461468335,1759,7.473069088032197,158706
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,Fantasy,Hardcover,480,Long,2015,10,4.46,1143281,13.949413631506886,1676,7.424761761823209,157339
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,Paperback,226,Medium,2003,22,3.89,1590050,14.279276649153706,1804,7.498315870766981,156675
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,Nonfiction,Paperback,210,Medium,1997,28,4.21,1189870,13.989355455850298,1778,7.483806687665835,156043
The Secret History,Donna Tartt,Fiction,Paperback,559,Long,1992,33,4.15,1014139,13.82955152066403,1693,7.434847875211999,154139
"Holes (Holes, #1)",Louis Sachar,Young Adult,Paperback,272,Medium,1998,27,4.01,1356813,14.120649862362768,1787,7.488852955733459,151530
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,Fantasy,Paperback,652,Long,2005,20,4.58,3636270,15.106469263955347,1758,7.472500744737558,151122
The Unbearable Lightness of Being,Milan Kundera,Fiction,Paperback,314,Medium,1984,41,4.11,540428,13.20011854758095,1693,7.434847875211999,150701
The Name of the Rose,Umberto Eco,Fiction,Paperback,552,Long,1980,45,4.14,393975,12.884045272719172,1731,7.4570320891223805,148890
On the Road,Jack Kerouac,Classics,Paperback,307,Medium,1957,68,3.61,446476,13.009143166213796,1682,7.428333194190806,147555
Where the Red Fern Grows,Wilson Rawls,Classics,Mass,272,Medium,1961,64,4.13,439138,12.992571270642614,1703,7.440733707389261,146507
"The Godfather (The Godfather, #1)",Mario Puzo,Fiction,Paperback,428,Long,1969,56,4.4,461959,13.043233586229023,1713,7.446585099157725,145159
In Cold Blood,Truman Capote,Nonfiction,Paperback,343,Medium,1966,59,4.09,725474,13.494581891718857,1708,7.443663683115591,144099
The Scarlet Letter,Nathaniel Hawthorne,Classics,Paperback,279,Medium,1850,175,3.44,915377,13.72709237370335,1755,7.470793774195062,141216
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,Young Adult,Hardcover,391,Medium,2009,16,4.35,4121691,15.231774316631569,1638,7.40184157874383,140090
The Song of Achilles,Madeline Miller,Fantasy,Paperback,408,Long,2011,14,4.3,1957662,14.487261972856757,1479,7.299797366758161,138969
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,Fantasy,Kindle,635,Long,2001,24,4.1,988385,13.803828588690328,1556,7.350516171833998,137223
The Five People You Meet in Heaven,Mitch Albom,Fiction,Hardcover,196,Short,2003,22,4.01,798522,13.59051905022989,1567,7.357556200910353,136614
All Quiet on the Western Front,Erich Maria Remarque,Classics,Mass,296,Medium,1928,97,4.11,517444,13.156658518280285,1580,7.3658128372094716,135466
Watchmen,Alan             Moore,Graphic Novels,Paperback,416,Long,1987,38,4.39,592324,13.291810749714678,1532,7.334981878871814,135391
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,Fantasy,Mass,491,Long,1990,35,4.25,821842,13.61930465822905,1489,7.306531398939505,132027
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,Fiction,Mass,960,Very Long,1985,40,4.57,236825,12.375080973262003,1461,7.2875606403097235,130063
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,Fantasy,Hardcover,391,Medium,2009,16,3.92,742036,13.517154386135399,1422,7.260522598089852,128624
"Peter Pan (Peter Pan, #2)",J.M. Barrie,Classics,Hardcover,155,Short,1911,114,4.03,373082,12.829556193979265,1558,7.351799869057777,125458
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,Fantasy,Kindle,352,Medium,2007,18,4.37,1206294,14.003064236638973,1453,7.282073658093465,122851
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,Fantasy,Hardcover,361,Medium,2008,17,4.42,1209788,14.005956522201647,1406,7.249215057114389,120177
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,Fantasy,Hardcover,406,Long,2012,13,4.18,2355830,14.672404089432042,1286,7.160069207596127,117212
Love in the Time of Cholera,Gabriel García Márquez,Fiction,Paperback,348,Medium,1985,40,3.94,544725,13.208038194929495,1390,7.237778191923443,116953
"Insurgent (Divergent, #2)",Veronica Roth,Young Adult,Hardcover,525,Long,2012,13,3.96,1617170,14.296188884359426,1326,7.190676034332207,115980
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,Fantasy,Hardcover,279,Medium,2006,19,4.24,1353428,14.118151930066583,1376,7.227662498728655,115566
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,Fantasy,Kindle,626,Long,2016,9,4.64,3139144,14.959461027812337,1235,7.119635638017636,115483
The Addiction Manifesto,Jerry Weaver,Nonfiction,Paperback,178,Short,2018,7,4.74,1261,7.140453043101158,1150,7.048386408721883,114964
A Walk to Remember,Nicholas Sparks,Romance,Kindle,215,Medium,1999,26,4.2,843333,13.645118362549114,1338,7.199678345691172,114753
The Thorn Birds,Colleen McCullough,Fiction,Mass,692,Long,1977,48,4.25,364047,12.805041006056909,1369,7.222566018822171,113211
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,Fantasy,Paperback,567,Long,2013,12,4.55,475705,13.072555295332212,1258,7.138073034044347,113175
